,Nation,Gls
0,ALB,1.0
1,ALG,1.12
2,ANG,1.3333333333333333
3,ARG,2.371794871794872
4,ARM,1.0
5,AUS,0.0
6,AUT,1.8285714285714285
7,BDI,0.0
8,BEL,1.9824561403508771
9,BEN,4.0
10,BFA,0.3333333333333333
11,BIH,3.375
12,BRA,2.0396039603960396
13,BUL,0.0
14,CAN,5.2
15,CGO,0.6666666666666666
16,CHI,1.2857142857142858
17,CIV,1.326086956521739
18,CMR,0.9615384615384616
19,COD,2.2222222222222223
20,COL,2.04
21,COM,0.0
22,CPV,1.3333333333333333
23,CRC,0.0
24,CRO,2.0588235294117645
25,CTA,0.0
26,CYP,2.0
27,CZE,2.0
28,DEN,1.7804878048780488
29,DOM,0.0
30,ECU,0.8
31,EGY,9.5
32,ENG,2.078341013824885
33,EQG,0.2
34,ESP,1.3787128712871286
35,FIN,0.6666666666666666
36,FRA,1.6006006006006006
37,GAB,4.0
38,GAM,1.0
39,GEO,4.8
40,GER,1.6806083650190113
41,GHA,2.076923076923077
42,GNB,0.8333333333333334
43,GRE,0.7857142857142857
44,GRN,1.0
45,GUF,1.0
46,GUI,3.076923076923077
47,HAI,0.0
48,HON,1.5
49,HUN,0.7
50,IRL,1.105263157894737
51,IRN,2.0
52,ISL,5.666666666666667
53,ISR,0.2
54,ITA,1.3127572016460904
55,JAM,4.0
56,JOR,5.0
57,JPN,2.764705882352941
58,KEN,1.0
59,KOR,6.833333333333333
60,KVX,2.25
61,LTU,0.0
62,LUX,1.3333333333333333
63,MAD,2.0
64,MAR,1.6904761904761905
65,MEX,1.25
66,MKD,0.6666666666666666
67,MLI,0.8571428571428571
68,MLT,6.0
69,MNE,2.0
70,MOZ,1.5
71,MTQ,1.0
72,NED,2.507936507936508
73,NGA,3.4444444444444446
74,NIR,0.6666666666666666
75,NOR,3.423076923076923
76,NZL,7.0
77,PAN,3.0
78,PAR,1.6
79,PER,1.5
80,PHI,0.0
81,POL,1.2580645161290323
82,POR,1.734375
83,ROU,0.3
84,RSA,4.0
85,RUS,3.0
86,SCO,1.391304347826087
87,SEN,1.3095238095238095
88,SLE,0.0
89,SRB,1.2619047619047619
90,SUI,1.3428571428571427
91,SUR,0.6666666666666666
92,SVK,0.5
93,SVN,3.2
94,SWE,2.1538461538461537
95,SYR,0.0
96,TOG,2.0
97,TUN,0.5
98,TUR,2.4615384615384617
99,UKR,3.8461538461538463
100,URU,1.75
101,USA,1.6296296296296295
102,UZB,1.5
103,VEN,2.5
104,WAL,0.9285714285714286
105,ZAM,1.5
106,ZIM,1.0
