,Squad,Comp,PrgP,Gls
0,Alavés,es La Liga,1260.0,33
1,Almería,es La Liga,1097.0,42
2,Arsenal,eng Premier League,2106.0,86
3,Aston Villa,eng Premier League,1451.0,72
4,Atalanta,it Serie A,1754.0,72
5,Athletic Club,es La Liga,1610.0,59
6,Atlético Madrid,es La Liga,1597.0,68
7,Augsburg,de Bundesliga,1137.0,49
8,Barcelona,es La Liga,1925.0,76
9,Bayern Munich,de Bundesliga,1941.0,93
10,Betis,es La Liga,1441.0,46
11,Bochum,de Bundesliga,1151.0,41
12,Bologna,it Serie A,1453.0,52
13,Bournemouth,eng Premier League,1314.0,52
14,Brentford,eng Premier League,1283.0,54
15,Brest,fr Ligue 1,1402.0,51
16,Brighton,eng Premier League,1780.0,50
17,Burnley,eng Premier League,1181.0,40
18,Cagliari,it Serie A,1109.0,41
19,Celta Vigo,es La Liga,1345.0,45
20,Chelsea,eng Premier League,1615.0,76
21,Clermont Foot,fr Ligue 1,1247.0,26
22,Crystal Palace,eng Premier League,1176.0,56
23,Cádiz,es La Liga,1017.0,25
24,Darmstadt 98,de Bundesliga,1083.0,28
25,Dortmund,de Bundesliga,1452.0,68
26,Eint Frankfurt,de Bundesliga,1305.0,48
27,Empoli,it Serie A,1056.0,26
28,Everton,eng Premier League,1129.0,40
29,Fiorentina,it Serie A,1656.0,60
30,Freiburg,de Bundesliga,1208.0,43
31,Frosinone,it Serie A,1326.0,44
32,Fulham,eng Premier League,1467.0,54
33,Genoa,it Serie A,1079.0,43
34,Getafe,es La Liga,1141.0,42
35,Girona,es La Liga,1685.0,84
36,Gladbach,de Bundesliga,1227.0,55
37,Granada,es La Liga,1044.0,35
38,Heidenheim,de Bundesliga,983.0,46
39,Hellas Verona,it Serie A,1122.0,38
40,Hoffenheim,de Bundesliga,1359.0,65
41,Inter,it Serie A,1620.0,87
42,Juventus,it Serie A,1473.0,52
43,Köln,de Bundesliga,1086.0,28
44,Las Palmas,es La Liga,1596.0,33
45,Lazio,it Serie A,1528.0,46
46,Le Havre,fr Ligue 1,1199.0,33
47,Lecce,it Serie A,1183.0,30
48,Lens,fr Ligue 1,1624.0,45
49,Leverkusen,de Bundesliga,1997.0,87
50,Lille,fr Ligue 1,1468.0,50
51,Liverpool,eng Premier League,2110.0,80
52,Lorient,fr Ligue 1,1293.0,41
53,Luton Town,eng Premier League,1113.0,49
54,Lyon,fr Ligue 1,1600.0,48
55,Mainz 05,de Bundesliga,1169.0,38
56,Mallorca,es La Liga,1174.0,33
57,Manchester City,eng Premier League,2060.0,94
58,Manchester Utd,eng Premier League,1479.0,57
59,Marseille,fr Ligue 1,1613.0,50
60,Metz,fr Ligue 1,910.0,35
61,Milan,it Serie A,1569.0,76
62,Monaco,fr Ligue 1,1726.0,66
63,Montpellier,fr Ligue 1,1174.0,41
64,Monza,it Serie A,1248.0,38
65,Nantes,fr Ligue 1,1243.0,30
66,Napoli,it Serie A,1758.0,54
67,Newcastle Utd,eng Premier League,1557.0,83
68,Nice,fr Ligue 1,1245.0,39
69,Nott'ham Forest,eng Premier League,1140.0,49
70,Osasuna,es La Liga,1322.0,45
71,Paris S-G,fr Ligue 1,1915.0,78
72,RB Leipzig,de Bundesliga,1541.0,74
73,Rayo Vallecano,es La Liga,1335.0,29
74,Real Madrid,es La Liga,1935.0,85
75,Real Sociedad,es La Liga,1414.0,48
76,Reims,fr Ligue 1,1425.0,40
77,Rennes,fr Ligue 1,1639.0,53
78,Roma,it Serie A,1469.0,64
79,Salernitana,it Serie A,1119.0,32
80,Sassuolo,it Serie A,1301.0,42
81,Sevilla,es La Liga,1416.0,46
82,Sheffield Utd,eng Premier League,884.0,31
83,Strasbourg,fr Ligue 1,1152.0,36
84,Stuttgart,de Bundesliga,1618.0,78
85,Torino,it Serie A,1333.0,35
86,Tottenham,eng Premier League,2107.0,69
87,Toulouse,fr Ligue 1,1405.0,42
88,Udinese,it Serie A,1022.0,36
89,Union Berlin,de Bundesliga,1146.0,33
90,Valencia,es La Liga,1162.0,39
91,Villarreal,es La Liga,1558.0,64
92,Werder Bremen,de Bundesliga,1172.0,45
93,West Ham,eng Premier League,1207.0,58
94,Wolfsburg,de Bundesliga,1235.0,41
95,Wolves,eng Premier League,1180.0,47
